L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu. Ciê¿ko odró¿niæ przy dwóch skrzy¿owaniach;Czas trwania nadawania sygna³u odjazdu (S)
R;61;50.00184510426;before;
R;55;50.001845115615;after;
R;181;50.001939485626;after;
R;73;50.001939503175;after;
R;103;50.001939504206;after;
R;229;50.001939506187;before;
R;211;50.001939507967;before;
R;175;50.002019033571;before;
R;91;50.002087087046;after;
R;103;50.002802513894;after;
R;43;50.002802527693;after;
R;181;50.002802533359;after;
R;169;50.00309006128;before;
L;43;50.310369537277;after;
S;91;51.000245087018;after;0.000245087018
S;151;51.000245087151;before;0.000245087151
R;187;51.001368394907;before;
R;109;51.002052530076;before;
R;223;51.00258500816;before;
R;235;51.002902036339;before;
R;259;51.003123348771;before;
R;193;51.003167419928;before;
R;61;51.003227109643;before;
L;37;51.238881023199;after;
L;103;51.326290546258;after;
L;181;51.326290551078;after;
L;73;51.326290555097;before;
L;127;51.326290559305;before;
L;43;51.511530533717;before;
L;205;51.565043544459;after;
L;73;51.565043558235;before;
L;229;51.565043561247;before;
L;181;51.565043565105;after;
L;181;51.640305570963;after;
L;43;51.640305582753;before;
L;109;51.640305583256;before;
S;121;52.000241113649;after;0.000241113649
S;169;52.000241113812;before;0.000241113812
R;43;52.001243481746;before;
R;205;52.001243500965;after;
R;211;52.001243503557;before;
R;43;52.001606582753;before;
R;109;52.001606583256;before;
R;205;52.001606588553;after;
R;157;52.001879142918;before;
R;217;52.001897593671;after;
R;205;52.001897605992;after;
R;73;52.001897607271;before;
R;229;52.001897610283;before;
R;211;52.001897612063;before;
R;151;52.002040140147;after;
R;211;52.002214617291;before;
R;43;52.002214629231;before;
R;217;52.002214636129;after;
R;73;52.00221463631;before;
R;169;52.002295063162;before;
R;61;52.002295066058;before;
R;73;52.002456608277;before;
R;127;52.002456608277;before;
R;181;52.002456609198;after;
R;61;52.002690073875;before;
R;151;52.002690089823;after;
R;175;52.002690090042;before;
R;55;52.002729171139;after;
R;127;52.00277361996;before;
R;109;52.00277363514;before;
L;205;52.18705362859;after;
L;253;52.187053642382;before;
L;43;52.187053646601;before;
L;217;52.18705365002;after;
L;181;52.320810630722;after;
L;109;52.320810644981;before;
L;103;52.320810651609;after;
S;151;53.000237090107;after;0.000237090107
R;223;53.001527063108;before;
R;241;53.001719170733;before;
R;109;53.001924644981;before;
R;169;53.002582117052;after;
R;121;53.002582117101;after;
R;61;53.002715075208;before;
R;235;53.002715089877;before;
R;175;53.002715089912;before;
R;193;53.00278519296;before;
R;115;53.003167207085;before;
R;187;53.003167217981;before;
L;127;53.510970670002;before;
L;241;53.619807025021;before;
L;247;53.698696050042;before;
L;55;53.698696054331;before;
L;91;53.698696055677;after;
S;169;54.00023611616;after;0.00023611616
R;121;54.002188168115;after;
R;97;54.002188168187;after;
R;157;54.002188170138;before;
R;241;54.002188171918;before;
R;127;54.002271683939;before;
R;109;54.002271691496;before;
R;73;54.002412662331;before;
R;211;54.002412667123;before;
