L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu. Ciê¿ko odró¿niæ przy dwóch skrzy¿owaniach;Czas trwania nadawania sygna³u odjazdu (S)
R;295;95.002164075069;after;
R;157;95.002452372086;before;
R;337;95.002452379409;after;
R;307;95.002756405613;after;
L;325;95.21110836537;before;
L;349;95.21110836537;after;
L;307;95.506532390967;after;
L;187;95.506532396604;before;
L;295;95.554300075069;after;
L;283;95.682298390391;before;
L;331;95.682298390391;before;
S;361;96.000238157312;before;0.000238157312
S;271;96.000244091735;after;0.000244091735
R;211;96.001718125406;after;
R;265;96.001718125857;after;
R;325;96.001817415412;before;
R;349;96.001817415412;before;
R;331;96.002147440433;before;
R;361;96.00226617699;before;
R;277;96.002966108176;after;
R;265;96.002966108401;after;
L;301;96.252404190076;after;
L;211;96.252404203752;after;
S;283;97.000238390396;before;0.000238390396
S;193;97.000238390431;after;0.000238390431
S;295;97.000240134179;after;0.000240134179
S;187;97.000242396777;before;0.000242396777
S;337;97.000242401342;after;0.000242401342
S;259;97.000529415492;after;0.000529415492
S;187;97.000529415552;before;0.000529415552
R;157;97.001287430598;after;
R;367;97.001444440433;after;
R;259;97.001803415422;after;
R;157;97.001847440243;after;
R;193;97.001847440673;after;
R;277;97.002624160182;after;
R;349;97.002710465454;before;
S;325;98.000234416065;before;0.000234416065
S;157;98.000239440615;after;0.000239440615
R;187;98.001713465678;after;
R;331;98.001890441649;before;
R;283;98.001890441734;after;
R;265;98.002423127128;after;
R;361;98.002423129078;before;
R;325;98.002779467233;before;
R;253;98.003000153793;before;
L;211;98.404349141127;after;
L;253;98.404349157693;before;
S;283;99.000235493648;after;0.000235493648
R;367;99.0016134933;after;
R;331;99.001613493396;before;
R;193;99.001821492363;after;
R;277;99.001943214249;after;
R;349;99.002021519453;before;
R;187;99.003074519048;after;
R;295;99.003183241714;after;
R;325;99.003217520063;after;
S;325;100.000239520555;after;0.000239520555
R;331;100.001310547714;after;
R;361;100.001924175729;before;
L;253;100.144513193765;before;
S;367;101.000243548047;after;0.000243548047
R;349;101.002120575681;after;
R;187;101.002674520001;after;
R;277;101.002848269209;after;
R;295;101.003139296308;after;
R;193;101.003186547639;after;
R;331;102.002397603466;after;
R;349;102.002948631221;after;
R;325;102.002948631366;after;
L;295;102.470636312102;after;
R;367;103.001860658882;after;
R;349;103.002554686543;after;
R;325;104.001435687551;after;
R;331;104.00210371617;after;
R;361;104.003138353259;before;
L;343;104.120702364018;after;
R;367;105.001244714773;after;
R;349;105.001964742327;after;
R;349;107.002630741539;after;
R;367;107.002960768305;after;
R;157;108.002445209326;after;
R;301;108.002736228576;after;
R;187;108.002736239623;after;
R;337;109.001594417775;after;
R;307;109.002090333294;after;
R;277;109.0027044429;after;
R;295;109.002862354486;after;
R;187;110.002159300251;after;
R;259;110.003233246853;before;
L;301;110.26600726513;after;
L;193;110.266007271874;before;
R;277;111.002020310925;after;
R;259;111.002709297965;before;
R;187;111.003065321599;after;
R;343;112.002011398851;after;
R;157;112.002965416999;after;
R;187;112.002965417804;after;
L;259;112.329520297965;before;
L;283;112.569388322986;before;
R;349;113.001526348516;after;
R;283;113.002116374046;before;
R;361;114.001560410057;before;
R;259;114.002570353347;before;
R;283;114.002570359771;before;
L;253;114.263680366823;before;
L;283;114.263680378368;before;
L;211;114.424360364048;after;
L;283;114.424360373537;before;
L;211;114.550153390934;after;
L;253;114.550153393437;before;
L;259;114.550153398558;before;
L;349;114.550153398558;before;
L;247;114.6230174384;after;
R;277;115.001565402614;after;
R;259;115.002584398558;before;
R;349;115.002584398558;before;
R;193;115.00288342686;before;
R;247;115.003019413247;before;
R;253;115.003174410147;before;
R;283;115.003174423579;before;
L;307;115.551377439528;after;
R;361;116.002482438268;before;
L;247;116.505639463289;before;
R;349;117.001469414505;before;
R;283;117.00146942509;before;
R;307;117.002170442796;before;
R;277;117.002189426396;after;
R;295;117.002431446553;after;
R;259;117.002431451881;before;
R;247;117.002500467817;before;
R;337;117.002500467817;after;
R;259;117.00285246018;before;
R;193;117.002852466246;before;
L;229;117.204088788567;before;
L;307;117.204694492838;before;
L;301;117.349706813588;before;
R;361;118.001820492838;before;
R;337;118.002443592608;before;
L;247;118.200842517859;before;
L;307;118.333103617629;before;
L;157;118.333103619105;after;
R;295;119.001573465949;after;
R;283;119.001573475132;before;
R;349;119.001877481787;before;
R;343;119.002423486584;after;
R;349;119.002423500153;before;
R;307;119.002829617629;before;
R;259;119.003030437629;before;
R;247;119.00312064265;before;
R;337;119.00312064265;before;
L;187;119.35239164265;after;
L;337;119.35239164265;before;
L;307;119.681387667671;before;
R;187;120.00125264265;before;
R;337;120.00125264265;before;
R;277;120.002344534515;before;
R;349;120.002960499212;before;
R;361;120.003207667671;before;
L;247;120.212642692692;before;
L;343;120.32089351184;after;
L;283;120.320893524233;before;
L;295;120.320893526231;after;
L;253;120.350424559536;before;
L;295;120.350424560677;after;
L;157;120.604405667671;before;
L;157;120.684355667671;before;
L;307;120.684355667671;before;
R;349;121.001357549254;before;
R;157;121.001560667671;before;
R;295;121.001573559536;after;
R;343;121.001856559969;after;
R;283;121.001856574275;before;
R;295;121.001856577325;after;
R;157;121.002015667671;before;
R;307;121.002015667671;before;
R;277;121.002147602346;before;
R;343;121.002147602356;after;
R;349;121.002147605396;before;
R;301;121.00257086363;before;
R;247;121.002631692692;before;
R;337;121.002631692692;before;
L;187;121.101288692692;before;
L;337;121.101288692692;before;
L;307;121.318432717713;before;
L;211;121.330032888651;before;
R;277;122.002201584557;before;
R;361;122.002367717713;before;
R;187;122.002622692692;before;
R;337;122.002622692692;before;
R;295;122.002944627377;before;
R;283;122.002944632787;before;
L;157;122.106341717713;before;
L;307;122.106341717713;before;
L;277;122.199756652398;before;
L;343;122.199756652398;after;
L;349;122.199756657246;before;
L;157;122.213981717713;before;
L;247;122.242963742734;before;
L;253;122.251553677419;before;
L;295;122.251553677419;before;
S;349;123.000244659165;before;0.000244659165
R;343;123.001250674886;before;
R;283;123.001250685543;after;
R;277;123.00194470244;before;
R;343;123.00194470244;before;
R;247;123.002072742734;before;
R;337;123.002072742734;before;
R;295;123.002326727461;before;
R;157;123.002376767755;before;
R;307;123.002376767755;before;
R;259;123.003210489974;after;
L;307;123.277911767755;before;
L;349;123.500772718161;before;
L;295;123.500772727461;before;
S;343;124.000237746929;before;0.000237746929
R;187;124.001886792776;before;
R;337;124.001886792776;before;
R;295;124.00194577195;before;
R;349;124.001945775697;after;
R;361;124.002822767755;before;
L;277;124.177359796971;before;
L;343;124.177359796971;before;
L;157;124.405008817797;before;
L;307;124.405008817797;before;
L;157;124.489794817797;before;
L;247;124.689474792776;before;
R;295;125.001850821992;before;
R;283;125.002079803629;after;
R;307;125.002116817797;before;
R;349;125.002409831561;after;
R;259;125.002680491459;after;
R;277;125.002726847013;before;
R;343;125.002726847013;before;
R;247;125.002927842818;before;
R;337;125.002927842818;before;
L;307;125.420739867839;before;
L;295;125.491856872034;before;
R;361;126.001935867839;before;
R;187;126.001977842818;before;
R;337;126.001977842818;before;
L;157;126.206355867839;before;
L;247;126.51170989286;before;
L;157;126.606274867839;before;
L;307;126.606274867839;before;
R;307;127.001284867839;before;
R;295;127.001689872034;before;
R;247;127.00234289286;before;
R;337;127.00234289286;before;
R;277;127.002435897055;before;
R;343;127.002435897055;before;
R;283;127.002906860969;after;
R;259;127.003223890319;after;
R;349;127.003223890377;after;
L;295;127.199403922076;before;
L;307;127.212024917881;before;
R;361;128.002780917881;before;
R;187;128.00287489286;before;
R;337;128.00287489286;before;
L;157;128.137117917881;before;
L;157;128.366827917881;before;
L;307;128.366827917881;before;
L;247;128.655970942902;before;
R;349;129.001380891263;after;
R;295;129.001970922076;before;
R;283;129.002191921557;after;
R;277;129.002326947097;before;
R;343;129.002326947097;before;
R;247;129.002467942902;before;
R;337;129.002467942902;before;
R;157;129.002758967923;before;
R;307;129.002758967923;before;
R;259;129.003180493733;after;
L;307;129.409567967923;before;
L;295;129.593493972118;before;
R;361;130.001644967923;before;
R;187;130.001930992944;before;
R;337;130.001930992944;before;
L;247;130.353897992944;before;
L;157;130.375543017965;before;
L;307;130.375543017965;before;
L;157;130.437384017965;before;
S;295;131.000236972807;before;0.000236972807
R;283;131.001310921571;after;
R;253;131.001576119361;before;
R;247;131.001628042986;before;
R;337;131.001628042986;before;
R;259;131.001887951864;after;
R;349;131.001887951879;after;
R;307;131.001945068007;before;
R;277;131.001983998517;after;
R;157;131.002850017965;before;
L;307;131.577260068007;before;
S;343;132.000245998296;before;0.000245998296
R;211;132.001853144382;before;
R;277;132.00185314445;after;
R;295;132.001915023785;after;
R;187;132.002113042986;before;
R;337;132.002113042986;before;
R;361;132.002963068007;before;
L;157;132.159925068007;before;
L;307;132.159925068007;before;
L;157;132.470326068007;before;
L;247;132.594728093028;before;
S;295;133.000242023317;after;0.000242023317
R;307;133.002135068007;before;
R;349;133.002384951826;after;
R;247;133.002426093028;before;
R;337;133.002426093028;before;
R;283;133.002688982081;after;
R;259;133.002952493541;after;
R;253;133.003170169471;before;
R;295;133.003170169471;after;
R;277;133.003461194492;after;
R;343;133.003461194492;after;
L;307;133.433836118049;before;
R;187;134.001450093028;before;
R;337;134.001450093028;before;
R;361;134.002903118049;before;
L;157;134.520987118049;before;
L;157;134.590485118049;before;
L;307;134.590485118049;before;
L;247;134.67902514307;before;
R;307;135.001290118049;before;
R;283;135.001326979075;after;
R;247;135.00158114307;before;
R;337;135.00158114307;before;
R;157;135.002213118049;before;
R;193;135.002213123888;after;
R;277;135.002845244534;before;
R;343;135.002845244534;before;
R;187;135.002920154748;before;
R;349;135.002931006324;after;
R;253;135.003162269555;before;
R;295;135.003162269555;before;
L;295;135.307544269555;before;
L;307;135.684073168091;before;
S;157;136.000233168603;after;0.000233168603
S;301;136.000239220219;before;0.000239220219
S;253;136.000241270068;before;0.000241270068
S;247;136.000529194482;after;0.000529194482
R;277;136.001286295602;after;
R;211;136.002025245928;before;
R;229;136.002025246014;after;
S;211;137.000235246669;before;0.000235246669
S;193;137.000242220164;after;0.000242220164
R;277;137.001415296181;after;
R;349;137.001608004927;after;
R;337;137.001690195155;after;
R;295;137.001732322383;after;
R;301;137.001891273119;after;
R;283;137.001925030779;after;
R;259;137.002886246186;after;
R;187;137.002886246279;after;
R;157;137.003138221439;after;
R;307;137.003138221534;after;
S;253;138.000244273769;before;0.000244273769
S;301;138.00024427386;after;0.00024427386
R;211;138.001354300869;after;
R;211;138.002680301051;after;
S;277;139.000240301227;after;0.000240301227
S;211;139.000240301256;after;0.000240301256
R;307;139.001248276153;after;
R;337;139.001773303766;after;
R;193;139.001846275836;after;
R;157;139.001846275873;after;
R;253;139.002130328743;after;
R;187;139.002163303305;after;
R;349;139.002357058086;after;
R;277;139.002528350525;after;
R;283;139.002687085393;after;
R;253;139.002819377983;after;
R;295;139.002819378071;after;
R;211;140.003135404174;after;
R;187;141.001581303528;after;
R;193;141.00188533122;after;
R;277;141.002107405632;after;
R;283;141.002261085771;after;
R;295;141.002398433254;after;
R;259;141.002890113436;after;
R;349;141.002890113456;after;
R;277;143.001270462867;after;
R;283;143.001333141071;after;
R;187;143.001433358576;after;
R;349;143.001637168686;after;
R;295;143.002419491918;after;
R;193;143.003232385932;after;
R;349;145.00162716882;after;
R;295;145.001772493206;after;
R;277;145.002063523545;after;
R;283;145.002542196569;after;
R;259;145.003196413381;after;
R;283;147.001479195402;after;
R;349;147.002355221984;after;
R;277;147.002508523558;after;
R;295;147.00286455391;after;
R;295;149.00163255392;after;
R;277;149.002339584282;after;
R;295;151.001900614651;after;
R;277;151.00250364502;after;
