L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
R;133;37.001304715972;before;
R;97;37.001805693013;before;
R;145;37.001837623115;before;
R;109;37.002330703687;before;
R;79;37.002330718034;before;
R;61;37.002330720215;before;
R;127;37.002330720215;before;
R;109;37.002621745236;before;
R;139;37.002621745236;before;
R;97;37.002621747417;before;
R;31;37.002955703806;before;
R;121;37.002955703806;before;
R;103;37.002955705987;before;
L;139;37.104971648136;before;
L;121;37.526444740993;before;
R;103;38.00169871448;before;
R;61;38.002061728708;before;
R;97;38.002061743055;before;
R;79;38.002898739382;before;
R;49;38.002898753729;before;
R;109;38.002898753729;before;
R;67;38.00289875591;before;
R;97;38.00289875591;before;
L;109;38.423713766584;before;
L;79;38.423713780931;before;
L;61;38.423713783112;before;
L;31;38.474214725154;before;
L;13;38.474214739501;before;
L;169;38.474214739501;before;
L;19;38.474214741682;before;
L;115;38.474214741682;before;
R;109;39.001243808133;before;
R;139;39.001243808133;before;
R;97;39.001243810314;before;
R;97;39.001846818807;before;
R;127;39.001846833154;before;
R;169;39.001876752356;before;
R;121;39.001876766703;before;
R;103;39.001876768884;before;
R;31;39.002284779558;before;
R;169;39.002284793905;before;
R;115;39.002284796086;before;
R;163;39.002284801196;before;
R;109;39.002293829481;before;
R;79;39.002293843828;before;
R;61;39.002293846009;before;
R;145;39.002431833154;before;
R;175;39.003233777443;before;
R;115;39.003233791724;before;
R;133;39.003233791724;before;
R;169;39.003233793905;before;
L;121;39.317552816745;before;
L;175;39.317552817838;before;
L;115;39.327185804579;before;
L;103;39.327185818926;before;
L;175;39.327185820113;before;
L;31;39.327185821107;before;
L;121;39.327185821107;before;
L;139;39.382634858175;before;
R;169;40.001253845134;before;
R;133;40.001253847315;before;
R;61;40.001530854502;before;
R;97;40.001530868849;before;
R;121;40.001622872336;before;
R;175;40.001622874517;before;
R;79;40.001821865176;before;
R;49;40.001821879523;before;
R;109;40.001821879523;before;
R;67;40.001821881704;before;
R;97;40.001821881704;before;
R;103;40.001994831781;before;
R;115;40.001994846128;before;
R;169;40.001994848309;before;
R;115;40.002961858983;before;
R;103;40.00296187333;before;
R;175;40.00296187333;before;
R;31;40.002961875511;before;
R;121;40.002961875511;before;
L;31;40.511201884004;before;
L;13;40.511201898351;before;
L;169;40.511201898351;before;
L;19;40.511201900532;before;
L;115;40.511201900532;before;
L;109;40.559240892378;before;
L;79;40.559240906725;before;
L;61;40.559240908906;before;
L;157;40.639500073944;before;
R;127;41.001859883196;before;
R;145;41.001859883196;before;
R;175;41.001990886185;before;
R;115;41.001990900532;before;
R;133;41.001990900532;before;
R;109;41.002272892378;before;
R;127;41.002272908906;before;
R;109;41.002602933927;before;
R;139;41.002602933927;before;
R;97;41.002602936108;before;
R;169;41.002684911206;before;
R;121;41.002684925553;before;
R;103;41.002684927734;before;
R;175;41.002684927734;before;
R;97;41.002919944601;before;
R;61;41.002919958948;before;
R;127;41.002919958948;before;
R;79;41.002919961129;before;
R;31;41.003001938408;before;
R;169;41.003001952755;before;
R;115;41.003001954936;before;
L;139;41.148556908217;before;
L;121;41.233954925553;before;
L;175;41.233954927734;before;
L;121;41.422602938408;before;
L;169;41.422602952755;before;
L;115;41.422602954936;before;
L;133;41.422602954936;before;
R;133;42.001770954936;before;
R;199;42.002076908217;before;
R;61;42.002338971803;before;
R;97;42.00233898615;before;
R;79;42.002915982477;before;
R;49;42.002915996824;before;
R;109;42.002915996824;before;
R;67;42.002915999005;before;
R;97;42.002915999005;before;
R;193;42.003101979957;before;
R;103;42.003114990631;before;
R;31;42.003114992812;before;
L;145;42.119978933238;before;
L;109;42.349410009679;before;
L;79;42.349410024026;before;
L;61;42.349410026207;before;
L;157;42.412692073944;before;
L;133;42.626678004978;before;
R;175;43.001260003486;before;
R;115;43.001260017833;before;
R;133;43.001260017833;before;
R;97;43.001287020353;before;
R;127;43.0012870347;before;
R;169;43.001590028507;before;
R;121;43.001590042854;before;
R;103;43.001590045035;before;
R;175;43.001590045035;before;
R;109;43.001682031027;before;
R;79;43.001682045374;before;
R;61;43.001682047555;before;
R;127;43.001682047555;before;
R;127;43.002054933238;before;
R;145;43.002054933238;before;
R;31;43.002206055709;before;
R;169;43.002206070056;before;
R;115;43.002206072237;before;
R;187;43.002206077346;before;
R;145;43.002436933238;before;
R;109;43.002514958259;before;
R;139;43.002514958259;before;
R;97;43.00251496044;before;
R;133;43.002864004978;before;
L;121;43.326686055709;before;
L;169;43.326686070056;before;
L;115;43.326686072237;before;
L;133;43.326686072237;before;
L;139;43.516136958259;before;
L;199;43.516136958259;before;
L;157;43.523331080426;before;
L;121;43.656683097258;before;
L;193;43.656683097258;before;
L;175;43.656683099439;before;
R;193;44.001500097258;before;
R;175;44.001500099439;before;
R;205;44.001723080426;before;
R;199;44.001951958259;before;
R;181;44.002040105447;before;
R;79;44.002206058229;before;
R;97;44.002206074757;before;
R;175;44.002483095077;before;
R;31;44.002483097258;before;
R;121;44.002483097258;before;
R;61;44.002497068903;before;
R;67;44.00249708325;before;
R;97;44.00249708325;before;
R;49;44.002497085431;before;
R;109;44.002497085431;before;
R;103;44.002930107932;before;
R;121;44.003112105751;before;
R;133;44.003112122279;before;
L;109;44.184424093924;before;
L;79;44.184424108271;before;
L;61;44.184424110452;before;
L;145;44.47875798328;before;
L;133;44.654222122279;before;
R;193;45.001873147319;before;
R;109;45.002012093924;before;
R;109;45.002303135473;before;
R;139;45.002303135473;before;
R;97;45.002303137654;before;
R;121;45.0023751473;before;
R;103;45.002375149481;before;
R;175;45.002375149481;before;
R;175;45.002666157974;before;
R;115;45.002666172321;before;
R;169;45.002666174502;before;
R;97;45.002698146147;before;
R;61;45.002698160494;before;
R;127;45.002698160494;before;
R;79;45.002698162675;before;
R;145;45.00275398328;before;
R;31;45.002965160155;before;
R;169;45.002965174502;before;
R;115;45.002965176683;before;
R;133;45.00321717234;before;
R;223;45.00321717234;before;
L;121;45.305649168648;before;
L;169;45.305649182995;before;
L;115;45.305649185176;before;
L;133;45.305649185176;before;
R;175;46.001388212851;before;
R;175;46.001804208616;before;
R;121;46.001804210751;before;
R;31;46.00180421083;before;
R;103;46.002199221504;before;
R;115;46.002199236539;before;
R;19;46.002199236619;after;
R;169;46.002199238665;before;
R;13;46.00219923878;after;
R;79;46.002219121894;before;
R;49;46.002219137009;after;
R;67;46.002219139174;after;
R;61;46.002705132568;before;
R;97;46.002705147604;before;
R;67;46.002705147684;after;
R;109;46.002705149736;before;
R;49;46.002705149833;after;
R;181;46.002711105447;before;
R;121;46.00299221929;before;
R;169;46.002992234237;before;
R;133;46.002992236291;before;
R;115;46.00299223637;before;
R;205;46.003041130468;before;
R;97;47.00170816041;before;
R;127;47.001708176097;before;
R;139;47.001999202376;before;
R;109;47.001999202458;before;
R;97;47.001999204561;before;
R;223;47.002484236736;before;
R;133;47.002484236822;before;
R;151;47.002741261517;after;
R;121;47.002741276427;before;
R;31;47.002741276495;before;
R;175;47.002741278489;before;
R;103;47.002741278566;before;
R;109;47.002810215235;before;
R;79;47.002810231026;before;
R;61;47.002810233068;before;
R;193;47.003139262849;before;
R;133;48.001341309175;before;
R;31;48.001645330304;before;
R;175;48.001645332777;before;
R;103;48.001645332845;before;
R;121;48.001645337187;before;
R;61;48.002268242969;before;
R;79;48.002559254912;before;
R;97;48.002559267681;before;
R;49;48.002559268291;after;
R;109;48.002559268851;before;
R;121;48.002906335395;before;
R;175;48.002906339861;before;
R;211;48.002952055329;before;
R;205;48.00304918051;before;
R;181;48.003340205531;before;
L;67;48.490977077331;after;
L;217;48.49097708035;before;
R;223;49.001571360594;before;
R;115;49.001662360416;before;
R;151;49.001875371301;after;
R;193;49.001875385677;before;
R;109;49.001955258046;before;
R;139;49.001955258046;before;
R;175;49.002083372071;before;
R;31;49.002083385437;before;
R;121;49.002083385437;before;
R;169;49.002083385605;before;
R;109;49.002212292779;before;
R;127;49.002272283067;before;
R;145;49.002523086269;before;
R;61;49.0030363178;before;
R;127;49.0030363178;before;
R;97;49.003036317877;before;
S;31;50.000236386026;before;0.000236386026
S;169;50.000236386287;before;0.000236386287
R;181;50.001255205531;before;
R;199;50.00187711129;before;
R;79;50.002510104967;before;
R;175;50.002841400638;before;
R;169;50.002841409173;before;
R;19;50.002841411232;after;
R;205;50.003015230552;before;
R;49;50.003105342448;before;
R;31;50.00314541525;before;
R;115;50.003145419518;before;
R;169;50.00314542683;before;
R;217;50.003152129584;before;
R;211;50.00315212984;before;
R;31;50.003449449977;before;
R;19;50.003449452297;after;
R;175;50.003449453022;before;
R;103;50.00344945538;before;
R;157;50.003449455423;before;
L;145;50.162640136311;before;
S;115;51.000242476231;before;0.000242476231
R;127;51.001842136311;before;
R;217;51.001921161985;before;
R;223;51.001930411671;before;
R;145;51.002159136311;before;
R;127;51.002446367842;before;
R;133;51.002476411926;before;
R;115;51.002476412013;before;
R;253;51.002476417814;before;
R;109;51.002737392863;before;
R;139;51.002737392863;before;
R;193;51.002871437639;before;
R;121;51.002962438236;before;
R;31;51.002962438267;after;
R;175;51.00296244368;before;
R;205;51.003011477673;before;
L;103;51.429546499966;before;
L;181;51.429546502694;before;
L;211;51.511123187006;before;
L;97;51.511123190549;before;
S;31;52.000236438792;after;0.000236438792
R;181;52.001705475748;before;
R;199;52.001721161332;before;
R;115;52.001840465571;after;
R;169;52.001996499313;before;
R;157;52.001996500769;before;
R;205;52.001996500769;before;
R;175;52.001996507816;before;
R;121;52.002259438797;before;
R;253;52.002259439757;before;
R;217;52.002346212792;before;
R;49;52.00237239249;before;
R;181;52.00282052579;before;
R;169;52.002820526884;before;
R;259;52.003131233804;before;
R;97;52.003131235826;before;
R;247;52.003131237813;before;
R;181;52.003176550449;before;
R;205;52.003176552999;before;
L;145;52.134716186353;before;
S;115;53.000235466691;after;0.000235466691
R;193;53.001275439121;before;
R;223;53.001592466571;before;
R;133;53.001592466673;before;
R;253;53.001969488751;before;
R;121;53.001969494585;after;
R;109;53.001999392863;before;
R;139;53.001999392863;before;
R;145;53.002966417884;before;
R;247;53.003135263608;before;
L;97;53.49655529139;before;
R;217;54.001570517093;before;
R;205;54.001676603041;before;
R;175;54.002006626357;before;
R;181;54.002006628062;before;
R;199;54.002034442905;before;
R;19;54.002286282134;after;
R;217;54.002286288629;before;
R;205;54.002570649673;before;
R;277;54.002570655966;before;
R;19;54.002772303173;after;
R;31;54.002772310188;after;
R;211;54.00277231365;before;
R;247;54.00277231365;before;
R;259;54.002772314748;before;
L;145;54.340767467926;before;
S;223;55.000235521899;before;0.000235521899
R;283;55.001267532848;before;
R;193;55.001267549547;after;
R;115;55.001310462724;after;
R;127;55.001310467926;before;
R;133;55.00153552348;after;
R;259;55.001535524506;before;
R;61;55.002732476259;before;
